"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2007","2007",11,9017087,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2008","2008",Suppressed,8977967,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2009","2009",Suppressed,8965870,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2010","2010",Suppressed,8955115,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2011","2011",Suppressed,8901783,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2012","2012",Suppressed,8889994,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2013","2013",Suppressed,8873176,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2014","2014",Suppressed,8821412,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2015","2015",Suppressed,8756191,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2016","2016",Suppressed,8690369,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2017","2017",12,8663943,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2018","2018",Suppressed,8641137,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2019","2019",10,8600076,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 2: Midwest","CENS-R2","2020","2020",Suppressed,8572669,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","1999","1999",Suppressed,14335608,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2000","2000",Suppressed,14447788,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2001","2001",12,14511427,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2002","2002",12,14560708,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2003","2003",Suppressed,14603983,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2004","2004",12,14637217,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2005","2005",Suppressed,14673090,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2006","2006",14,14801671,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2007","2007",11,14934897,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2008","2008",13,15065357,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2009","2009",10,15232414,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2010","2010",16,15375429,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2011","2011",11,15483011,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2012","2012",13,15604260,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2013","2013",Suppressed,15695332,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2014","2014",Suppressed,15757743,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2015","2015",13,15795064,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2016","2016",16,15824488,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2017","2017",10,15900362,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2018","2018",12,15966228,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2019","2019",Suppressed,15998545,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 3: South","CENS-R3","2020","2020",17,16076799,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 4: West","CENS-R4","1999","1999",Suppressed,9574877,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2000","2000",Suppressed,9671986,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2001","2001",Suppressed,9738978,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2002","2002",Suppressed,9761833,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2003","2003",Suppressed,9752034,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2004","2004",Suppressed,9725009,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2005","2005",Suppressed,9663761,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2006","2006",Suppressed,9664813,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2007","2007",16,9657191,Unreliable,0.1,0.3,0.0
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2008","2008",13,9703249,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2009","2009",Suppressed,9782565,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2010","2010",15,9856829,Unreliable,0.1,0.3,0.0
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2011","2011",10,9882097,Unreliable,0.0,0.2,0.0
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2012","2012",Suppressed,9909417,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2013","2013",Suppressed,9955565,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2014","2014",Suppressed,9966337,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2015","2015",Suppressed,9971148,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2016","2016",Suppressed,9978885,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2017","2017",Suppressed,10002757,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2018","2018",Suppressed,10019526,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2019","2019",Suppressed,9996731,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Census Region 4: West","CENS-R4","2020","2020",30,9977375,0.3,0.2,0.4,0.1
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","1999","1999",167,6834915,2.4,2.1,2.8,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2000","2000",174,6903909,2.5,2.1,2.9,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2001","2001",237,7055052,3.4,2.9,3.8,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2002","2002",270,7161580,3.8,3.3,4.2,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2003","2003",299,7270254,4.1,3.6,4.6,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2004","2004",292,7356674,4.0,3.5,4.4,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2005","2005",317,7459152,4.2,3.8,4.7,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2006","2006",372,7546849,4.9,4.4,5.4,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2007","2007",337,7611589,4.4,4.0,4.9,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2008","2008",391,7657306,5.1,4.6,5.6,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2009","2009",348,7700515,4.5,4.0,5.0,0.2
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2010","2010",385,7711116,5.0,4.5,5.5,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2011","2011",482,7676664,6.3,5.7,6.8,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2012","2012",465,7669485,6.1,5.5,6.6,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2013","2013",572,7612883,7.5,6.9,8.1,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2014","2014",656,7593803,8.6,8.0,9.3,0.3
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2015","2015",812,7532477,10.8,10.0,11.5,0.4
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2016","2016",1044,7460550,14.0,13.1,14.8,0.4
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2017","2017",1036,7385135,14.0,13.2,14.9,0.4
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2018","2018",869,7223065,12.0,11.2,12.8,0.4
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2019","2019",750,7113250,10.5,9.8,11.3,0.4
,"15-24 years","15-24","Census Region 1: Northeast","CENS-R1","2020","2020",919,7014744,13.1,12.3,13.9,0.4
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","1999","1999",102,9020977,1.1,0.9,1.4,0.1
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2000","2000",130,9082680,1.4,1.2,1.7,0.1
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2001","2001",165,9254615,1.8,1.5,2.1,0.1
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2002","2002",191,9343939,2.0,1.8,2.3,0.1
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2003","2003",246,9430178,2.6,2.3,2.9,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2004","2004",304,9490521,3.2,2.8,3.6,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2005","2005",341,9525092,3.6,3.2,4.0,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2006","2006",409,9535684,4.3,3.9,4.7,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2007","2007",446,9499761,4.7,4.3,5.1,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2008","2008",484,9470731,5.1,4.7,5.6,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2009","2009",490,9431517,5.2,4.7,5.7,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2010","2010",549,9388704,5.8,5.4,6.3,0.2
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2011","2011",562,9389842,6.0,5.5,6.5,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2012","2012",587,9381334,6.3,5.8,6.8,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2013","2013",635,9397943,6.8,6.2,7.3,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2014","2014",690,9390167,7.3,6.8,7.9,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2015","2015",780,9350978,8.3,7.8,8.9,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2016","2016",1037,9275221,11.2,10.5,11.9,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2017","2017",1083,9198742,11.8,11.1,12.5,0.4
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2018","2018",894,9116648,9.8,9.2,10.4,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2019","2019",821,9039707,9.1,8.5,9.7,0.3
,"15-24 years","15-24","Census Region 2: Midwest","CENS-R2","2020","2020",1276,8978168,14.2,13.4,15.0,0.4
,"15-24 years","15-24","Census Region 3: South","CENS-R3","1999","1999",198,13919627,1.4,1.2,1.6,0.1
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2000","2000",285,14098139,2.0,1.8,2.3,0.1
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2001","2001",420,14497669,2.9,2.6,3.2,0.1
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2002","2002",526,14750173,3.6,3.3,3.9,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2003","2003",607,14946549,4.1,3.7,4.4,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2004","2004",689,15214103,4.5,4.2,4.9,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2005","2005",693,15429766,4.5,4.2,4.8,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2006","2006",906,15608525,5.8,5.4,6.2,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2007","2007",941,15784456,6.0,5.6,6.3,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2008","2008",919,15916303,5.8,5.4,6.1,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2009","2009",863,16034967,5.4,5.0,5.7,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2010","2010",897,16088607,5.6,5.2,5.9,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2011","2011",896,16212636,5.5,5.2,5.9,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2012","2012",785,16329986,4.8,4.5,5.1,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2013","2013",758,16387809,4.6,4.3,5.0,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2014","2014",860,16449902,5.2,4.9,5.6,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2015","2015",982,16465772,6.0,5.6,6.3,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2016","2016",1312,16374641,8.0,7.6,8.4,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2017","2017",1366,16355608,8.4,7.9,8.8,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2018","2018",1173,16353884,7.2,6.8,7.6,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2019","2019",1223,16320655,7.5,7.1,7.9,0.2
,"15-24 years","15-24","Census Region 3: South","CENS-R3","2020","2020",2017,16385539,12.3,11.8,12.8,0.3
,"15-24 years","15-24","Census Region 4: West","CENS-R4","1999","1999",154,8900512,1.7,1.5,2.0,0.1
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2000","2000",139,9099163,1.5,1.3,1.8,0.1
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2001","2001",122,9406234,1.3,1.1,1.5,0.1
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2002","2002",192,9598443,2.0,1.7,2.3,0.1
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2003","2003",247,9741873,2.5,2.2,2.9,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2004","2004",311,9886814,3.1,2.8,3.5,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2005","2005",334,10032159,3.3,3.0,3.7,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2006","2006",409,10152786,4.0,3.6,4.4,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2007","2007",452,10250009,4.4,4.0,4.8,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2008","2008",500,10347152,4.8,4.4,5.3,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2009","2009",528,10409933,5.1,4.6,5.5,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2010","2010",556,10437915,5.3,4.9,5.8,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2011","2011",605,10518733,5.8,5.3,6.2,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2012","2012",507,10563100,4.8,4.4,5.2,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2013","2013",521,10555767,4.9,4.5,5.4,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2014","2014",500,10545949,4.7,4.3,5.2,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2015","2015",508,10498989,4.8,4.4,5.3,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2016","2016",634,10400615,6.1,5.6,6.6,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2017","2017",609,10310810,5.9,5.4,6.4,0.2
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2018","2018",682,10277203,6.6,6.1,7.1,0.3
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2019","2019",931,10213898,9.1,8.5,9.7,0.3
,"15-24 years","15-24","Census Region 4: West","CENS-R4","2020","2020",1774,10177233,17.4,16.6,18.2,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","1999","1999",425,7558601,5.6,5.1,6.2,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2000","2000",422,7417849,5.7,5.1,6.2,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2001","2001",453,7248556,6.2,5.7,6.8,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2002","2002",487,7159686,6.8,6.2,7.4,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2003","2003",519,7084576,7.3,6.7,8.0,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2004","2004",446,6996881,6.4,5.8,7.0,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2005","2005",509,6892828,7.4,6.7,8.0,0.3
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2006","2006",604,6819106,8.9,8.2,9.6,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2007","2007",685,6816668,10.0,9.3,10.8,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2008","2008",664,6891044,9.6,8.9,10.4,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2009","2009",669,6973342,9.6,8.9,10.3,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2010","2010",698,7031455,9.9,9.2,10.7,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2011","2011",967,7173431,13.5,12.6,14.3,0.4
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2012","2012",1117,7293447,15.3,14.4,16.2,0.5
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2013","2013",1345,7417576,18.1,17.2,19.1,0.5
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2014","2014",1633,7524965,21.7,20.6,22.8,0.5
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2015","2015",2240,7607293,29.4,28.2,30.7,0.6
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2016","2016",3247,7658312,42.4,40.9,43.9,0.7
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2017","2017",3487,7754668,45.0,43.5,46.5,0.8
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2018","2018",3609,7723778,46.7,45.2,48.3,0.8
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2019","2019",3416,7729793,44.2,42.7,45.7,0.8
,"25-34 years","25-34","Census Region 1: Northeast","CENS-R1","2020","2020",3832,7708353,49.7,48.1,51.3,0.8
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","1999","1999",227,8824055,2.6,2.2,2.9,0.2
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2000","2000",275,8745989,3.1,2.8,3.5,0.2
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2001","2001",299,8586323,3.5,3.1,3.9,0.2
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2002","2002",366,8509826,4.3,3.9,4.7,0.2
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2003","2003",374,8456633,4.4,4.0,4.9,0.2
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2004","2004",468,8411906,5.6,5.1,6.1,0.3
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2005","2005",576,8371579,6.9,6.3,7.4,0.3
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2006","2006",773,8352175,9.3,8.6,9.9,0.3
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2007","2007",674,8400622,8.0,7.4,8.6,0.3
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2008","2008",915,8467181,10.8,10.1,11.5,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2009","2009",967,8542477,11.3,10.6,12.0,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2010","2010",1102,8591550,12.8,12.1,13.6,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2011","2011",1255,8691066,14.4,13.6,15.2,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2012","2012",1382,8737063,15.8,15.0,16.7,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2013","2013",1507,8783881,17.2,16.3,18.0,0.4
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2014","2014",1787,8832177,20.2,19.3,21.2,0.5
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2015","2015",2165,8872228,24.4,23.4,25.4,0.5
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2016","2016",3064,8939066,34.3,33.1,35.5,0.6
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2017","2017",3530,9009942,39.2,37.9,40.5,0.7
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2018","2018",3172,9078174,34.9,33.7,36.2,0.6
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2019","2019",3111,9110545,34.1,32.9,35.3,0.6
,"25-34 years","25-34","Census Region 2: Midwest","CENS-R2","2020","2020",4211,9107150,46.2,44.8,47.6,0.7
,"25-34 years","25-34","Census Region 3: South","CENS-R3","1999","1999",470,14365349,3.3,3.0,3.6,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2000","2000",504,14319343,3.5,3.2,3.8,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2001","2001",674,14205531,4.7,4.4,5.1,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2002","2002",838,14213411,5.9,5.5,6.3,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2003","2003",968,14223735,6.8,6.4,7.2,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2004","2004",1124,14329378,7.8,7.4,8.3,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2005","2005",1197,14432092,8.3,7.8,8.8,0.2
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2006","2006",1414,14556466,9.7,9.2,10.2,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2007","2007",1628,14714976,11.1,10.5,11.6,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2008","2008",1575,14914216,10.6,10.0,11.1,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2009","2009",1741,15132628,11.5,11.0,12.0,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2010","2010",1908,15284016,12.5,11.9,13.0,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2011","2011",2012,15580501,12.9,12.3,13.5,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2012","2012",1885,15804967,11.9,11.4,12.5,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2013","2013",1999,16000422,12.5,11.9,13.0,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2014","2014",2411,16289960,14.8,14.2,15.4,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2015","2015",2901,16567419,17.5,16.9,18.1,0.3
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2016","2016",3897,16808918,23.2,22.5,23.9,0.4
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2017","2017",4602,17076571,26.9,26.2,27.7,0.4
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2018","2018",4401,17259305,25.5,24.7,26.3,0.4
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2019","2019",4783,17372324,27.5,26.8,28.3,0.4
,"25-34 years","25-34","Census Region 3: South","CENS-R3","2020","2020",6939,17486792,39.7,38.7,40.6,0.5
,"25-34 years","25-34","Census Region 4: West","CENS-R4","1999","1999",542,9430401,5.7,5.3,6.2,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2000","2000",439,9408543,4.7,4.2,5.1,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2001","2001",329,9431112,3.5,3.1,3.9,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2002","2002",518,9466723,5.5,5.0,5.9,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2003","2003",554,9478851,5.8,5.4,6.3,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2004","2004",535,9528391,5.6,5.1,6.1,0.2
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2005","2005",628,9562148,6.6,6.1,7.1,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2006","2006",739,9667432,7.6,7.1,8.2,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2007","2007",831,9781197,8.5,7.9,9.1,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2008","2008",872,9935032,8.8,8.2,9.4,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2009","2009",983,10074895,9.8,9.1,10.4,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2010","2010",967,10156927,9.5,8.9,10.1,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2011","2011",1050,10345500,10.1,9.5,10.8,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2012","2012",1035,10473844,9.9,9.3,10.5,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2013","2013",1060,10642708,10.0,9.4,10.6,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2014","2014",1197,10869402,11.0,10.4,11.6,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2015","2015",1262,11090262,11.4,10.8,12.0,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2016","2016",1344,11270947,11.9,11.3,12.6,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2017","2017",1562,11501491,13.6,12.9,14.3,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2018","2018",1657,11636517,14.2,13.6,14.9,0.3
,"25-34 years","25-34","Census Region 4: West","CENS-R4","2019","2019",1999,11727659,17.0,16.3,17.8,0.4
