Notes,Census Region,Census Region Code,Sex,Sex Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,source_file,year_start,year_end
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Jun., 2006",2006/06,78,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Jul., 2006",2006/07,76,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Aug., 2006",2006/08,81,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Sep., 2006",2006/09,65,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Oct., 2006",2006/10,50,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Nov., 2006",2006/11,67,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2006,2006,"Dec., 2006",2006/12,78,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Jan., 2007",2007/01,82,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Feb., 2007",2007/02,73,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Mar., 2007",2007/03,82,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Apr., 2007",2007/04,70,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"May, 2007",2007/05,79,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Jun., 2007",2007/06,83,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Jul., 2007",2007/07,76,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Aug., 2007",2007/08,70,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Sep., 2007",2007/09,64,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Oct., 2007",2007/10,67,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Nov., 2007",2007/11,66,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2007,2007,"Dec., 2007",2007/12,91,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Jan., 2008",2008/01,85,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Feb., 2008",2008/02,87,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Mar., 2008",2008/03,91,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Apr., 2008",2008/04,64,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"May, 2008",2008/05,91,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Jun., 2008",2008/06,57,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Jul., 2008",2008/07,78,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Aug., 2008",2008/08,57,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Sep., 2008",2008/09,64,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Oct., 2008",2008/10,69,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Nov., 2008",2008/11,63,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2008,2008,"Dec., 2008",2008/12,71,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Jan., 2009",2009/01,77,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Feb., 2009",2009/02,80,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Mar., 2009",2009/03,91,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Apr., 2009",2009/04,79,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"May, 2009",2009/05,76,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Jun., 2009",2009/06,83,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Jul., 2009",2009/07,70,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Aug., 2009",2009/08,75,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Sep., 2009",2009/09,75,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Oct., 2009",2009/10,75,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Nov., 2009",2009/11,64,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2009,2009,"Dec., 2009",2009/12,90,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Jan., 2010",2010/01,101,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Feb., 2010",2010/02,85,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Mar., 2010",2010/03,93,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Apr., 2010",2010/04,76,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"May, 2010",2010/05,83,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Jun., 2010",2010/06,79,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Jul., 2010",2010/07,87,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Aug., 2010",2010/08,83,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Sep., 2010",2010/09,71,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Oct., 2010",2010/10,93,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Nov., 2010",2010/11,77,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,25-34 years,25-34,2010,2010,"Dec., 2010",2010/12,103,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Jan., 1999",1999/01,54,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Feb., 1999",1999/02,58,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Mar., 1999",1999/03,54,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Apr., 1999",1999/04,59,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"May, 1999",1999/05,53,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Jun., 1999",1999/06,47,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Jul., 1999",1999/07,70,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Aug., 1999",1999/08,47,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Sep., 1999",1999/09,63,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Oct., 1999",1999/10,65,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Nov., 1999",1999/11,64,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,1999,1999,"Dec., 1999",1999/12,62,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Jan., 2000",2000/01,70,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Feb., 2000",2000/02,71,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Mar., 2000",2000/03,58,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Apr., 2000",2000/04,92,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"May, 2000",2000/05,73,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Jun., 2000",2000/06,74,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Jul., 2000",2000/07,63,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Aug., 2000",2000/08,73,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Sep., 2000",2000/09,65,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Oct., 2000",2000/10,66,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Nov., 2000",2000/11,68,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2000,2000,"Dec., 2000",2000/12,84,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Jan., 2001",2001/01,88,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Feb., 2001",2001/02,100,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Mar., 2001",2001/03,86,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Apr., 2001",2001/04,88,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"May, 2001",2001/05,85,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Jun., 2001",2001/06,85,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Jul., 2001",2001/07,89,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Aug., 2001",2001/08,80,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Sep., 2001",2001/09,95,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Oct., 2001",2001/10,91,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Nov., 2001",2001/11,84,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2001,2001,"Dec., 2001",2001/12,72,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Jan., 2002",2002/01,95,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Feb., 2002",2002/02,90,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Mar., 2002",2002/03,106,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Apr., 2002",2002/04,93,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"May, 2002",2002/05,94,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Jun., 2002",2002/06,110,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Jul., 2002",2002/07,92,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Aug., 2002",2002/08,106,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Sep., 2002",2002/09,89,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Oct., 2002",2002/10,82,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Nov., 2002",2002/11,100,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2002,2002,"Dec., 2002",2002/12,96,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Jan., 2003",2003/01,103,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Feb., 2003",2003/02,106,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Mar., 2003",2003/03,104,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Apr., 2003",2003/04,109,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"May, 2003",2003/05,109,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Jun., 2003",2003/06,132,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Jul., 2003",2003/07,114,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Aug., 2003",2003/08,122,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Sep., 2003",2003/09,98,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Oct., 2003",2003/10,104,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Nov., 2003",2003/11,110,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2003,2003,"Dec., 2003",2003/12,110,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Jan., 2004",2004/01,117,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Feb., 2004",2004/02,112,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Mar., 2004",2004/03,112,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Apr., 2004",2004/04,109,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"May, 2004",2004/05,143,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Jun., 2004",2004/06,109,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Jul., 2004",2004/07,113,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Aug., 2004",2004/08,115,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Sep., 2004",2004/09,113,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Oct., 2004",2004/10,131,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Nov., 2004",2004/11,122,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2004,2004,"Dec., 2004",2004/12,114,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2005,2005,"Jan., 2005",2005/01,133,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2005,2005,"Feb., 2005",2005/02,117,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2005,2005,"Mar., 2005",2005/03,127,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2005,2005,"Apr., 2005",2005/04,111,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 3: South,CENS-R3,Female,F,35-44 years,35-44,2005,2005,"May, 2005",2005/05,115,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
