"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2008","2008",838,7735342,10.8,10.1,11.6,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2009","2009",921,7821846,11.8,11.0,12.5,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2010","2010",944,7835111,12.0,11.3,12.8,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2011","2011",972,7911886,12.3,11.5,13.1,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2012","2012",873,7977996,10.9,10.2,11.7,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2013","2013",917,8044005,11.4,10.7,12.1,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2014","2014",1121,8223776,13.6,12.8,14.4,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2015","2015",1368,8437437,16.2,15.4,17.1,0.4
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2016","2016",1872,8619949,21.7,20.7,22.7,0.5
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2017","2017",2162,8819276,24.5,23.5,25.5,0.5
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2018","2018",2028,8916732,22.7,21.8,23.7,0.5
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2019","2019",2170,8896916,24.4,23.4,25.4,0.5
,"25-29 years","25-29","Census Region 3: South","CENS-R3","2020","2020",3011,8814488,34.2,32.9,35.4,0.6
,"25-29 years","25-29","Census Region 4: West","CENS-R4","1999","1999",222,4618076,4.8,4.2,5.4,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2000","2000",172,4622834,3.7,3.2,4.3,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2001","2001",133,4556886,2.9,2.4,3.4,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2002","2002",196,4561178,4.3,3.7,4.9,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2003","2003",220,4599298,4.8,4.2,5.4,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2004","2004",228,4698616,4.9,4.2,5.5,0.3
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2005","2005",295,4820326,6.1,5.4,6.8,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2006","2006",358,4989140,7.2,6.4,7.9,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2007","2007",414,5100465,8.1,7.3,8.9,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2008","2008",437,5195169,8.4,7.6,9.2,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2009","2009",494,5234554,9.4,8.6,10.3,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2010","2010",483,5233027,9.2,8.4,10.1,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2011","2011",540,5282312,10.2,9.4,11.1,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2012","2012",500,5301771,9.4,8.6,10.3,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2013","2013",516,5362943,9.6,8.8,10.5,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2014","2014",581,5497100,10.6,9.7,11.4,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2015","2015",605,5659141,10.7,9.8,11.5,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2016","2016",661,5800608,11.4,10.5,12.3,0.4
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2017","2017",823,5941888,13.9,12.9,14.8,0.5
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2018","2018",864,6005257,14.4,13.4,15.3,0.5
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2019","2019",980,5999161,16.3,15.3,17.4,0.5
,"25-29 years","25-29","Census Region 4: West","CENS-R4","2020","2020",1631,5912681,27.6,26.2,28.9,0.7
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","1999","1999",259,3997143,6.5,5.7,7.3,0.4
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2000","2000",250,3957795,6.3,5.5,7.1,0.4
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2001","2001",274,3912527,7.0,6.2,7.8,0.4
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2002","2002",283,3845407,7.4,6.5,8.2,0.4
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2003","2003",291,3746553,7.8,6.9,8.7,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2004","2004",223,3619648,6.2,5.4,7.0,0.4
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2005","2005",259,3472166,7.5,6.6,8.4,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2006","2006",294,3353516,8.8,7.8,9.8,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2007","2007",311,3313554,9.4,8.3,10.4,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2008","2008",314,3328453,9.4,8.4,10.5,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2009","2009",299,3375927,8.9,7.9,9.9,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2010","2010",325,3413900,9.5,8.5,10.6,0.5
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2011","2011",501,3494148,14.3,13.1,15.6,0.6
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2012","2012",576,3560261,16.2,14.9,17.5,0.7
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2013","2013",670,3621276,18.5,17.1,19.9,0.7
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2014","2014",805,3665360,22.0,20.4,23.5,0.8
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2015","2015",1121,3696884,30.3,28.5,32.1,0.9
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2016","2016",1644,3725127,44.1,42.0,46.3,1.1
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2017","2017",1780,3771251,47.2,45.0,49.4,1.1
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2018","2018",1909,3773230,50.6,48.3,52.9,1.2
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2019","2019",1869,3812079,49.0,46.8,51.3,1.1
,"30-34 years","30-34","Census Region 1: Northeast","CENS-R1","2020","2020",2155,3854254,55.9,53.6,58.3,1.2
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","1999","1999",120,4510914,2.7,2.2,3.1,0.2
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2000","2000",153,4492781,3.4,2.9,3.9,0.3
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2001","2001",177,4502111,3.9,3.4,4.5,0.3
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2002","2002",211,4481559,4.7,4.1,5.3,0.3
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2003","2003",202,4427203,4.6,3.9,5.2,0.3
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2004","2004",229,4333376,5.3,4.6,6.0,0.3
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2005","2005",299,4225037,7.1,6.3,7.9,0.4
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2006","2006",380,4097188,9.3,8.3,10.2,0.5
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2007","2007",315,4049756,7.8,6.9,8.6,0.4
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2008","2008",453,4057615,11.2,10.1,12.2,0.5
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2009","2009",464,4118064,11.3,10.2,12.3,0.5
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2010","2010",550,4175394,13.2,12.1,14.3,0.6
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2011","2011",664,4284753,15.5,14.3,16.7,0.6
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2012","2012",721,4351690,16.6,15.4,17.8,0.6
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2013","2013",795,4406931,18.0,16.8,19.3,0.6
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2014","2014",939,4424720,21.2,19.9,22.6,0.7
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2015","2015",1176,4417661,26.6,25.1,28.1,0.8
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2016","2016",1586,4401924,36.0,34.3,37.8,0.9
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2017","2017",1849,4384063,42.2,40.3,44.1,1.0
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2018","2018",1619,4388955,36.9,35.1,38.7,0.9
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2019","2019",1641,4415320,37.2,35.4,39.0,0.9
,"30-34 years","30-34","Census Region 2: Midwest","CENS-R2","2020","2020",2282,4457175,51.2,49.1,53.3,1.1
,"30-34 years","30-34","Census Region 3: South","CENS-R3","1999","1999",258,7282967,3.5,3.1,4.0,0.2
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2000","2000",276,7274103,3.8,3.3,4.2,0.2
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2001","2001",372,7363311,5.1,4.5,5.6,0.3
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2002","2002",467,7425795,6.3,5.7,6.9,0.3
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2003","2003",533,7418901,7.2,6.6,7.8,0.3
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2004","2004",565,7376702,7.7,7.0,8.3,0.3
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2005","2005",599,7284912,8.2,7.6,8.9,0.3
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2006","2006",676,7156172,9.4,8.7,10.2,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2007","2007",782,7126723,11.0,10.2,11.7,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2008","2008",737,7178874,10.3,9.5,11.0,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2009","2009",820,7310782,11.2,10.4,12.0,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2010","2010",964,7448905,12.9,12.1,13.8,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2011","2011",1040,7668615,13.6,12.7,14.4,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2012","2012",1012,7826971,12.9,12.1,13.7,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2013","2013",1082,7956417,13.6,12.8,14.4,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2014","2014",1290,8066184,16.0,15.1,16.9,0.4
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2015","2015",1533,8129982,18.9,17.9,19.8,0.5
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2016","2016",2025,8188969,24.7,23.7,25.8,0.5
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2017","2017",2440,8257295,29.5,28.4,30.7,0.6
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2018","2018",2373,8342573,28.4,27.3,29.6,0.6
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2019","2019",2613,8475408,30.8,29.6,32.0,0.6
,"30-34 years","30-34","Census Region 3: South","CENS-R3","2020","2020",3928,8672304,45.3,43.9,46.7,0.7
,"30-34 years","30-34","Census Region 4: West","CENS-R4","1999","1999",320,4812325,6.6,5.9,7.4,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2000","2000",267,4785709,5.6,4.9,6.2,0.3
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2001","2001",196,4874226,4.0,3.5,4.6,0.3
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2002","2002",322,4905545,6.6,5.8,7.3,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2003","2003",334,4879553,6.8,6.1,7.6,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2004","2004",307,4829775,6.4,5.6,7.1,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2005","2005",333,4741822,7.0,6.3,7.8,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2006","2006",381,4678292,8.1,7.3,9.0,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2007","2007",417,4680732,8.9,8.1,9.8,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2008","2008",435,4739863,9.2,8.3,10.0,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2009","2009",489,4840341,10.1,9.2,11.0,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2010","2010",484,4923900,9.8,9.0,10.7,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2011","2011",510,5063188,10.1,9.2,10.9,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2012","2012",535,5172073,10.3,9.5,11.2,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2013","2013",544,5279765,10.3,9.4,11.2,0.4
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2014","2014",616,5372302,11.5,10.6,12.4,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2015","2015",657,5431121,12.1,11.2,13.0,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2016","2016",683,5470339,12.5,11.5,13.4,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2017","2017",739,5559603,13.3,12.3,14.3,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2018","2018",793,5631260,14.1,13.1,15.1,0.5
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2019","2019",1019,5728498,17.8,16.7,18.9,0.6
,"30-34 years","30-34","Census Region 4: West","CENS-R4","2020","2020",1626,5854670,27.8,26.4,29.1,0.7
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","1999","1999",390,4462839,8.7,7.9,9.6,0.4
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2000","2000",327,4425409,7.4,6.6,8.2,0.4
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2001","2001",367,4329457,8.5,7.6,9.3,0.4
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2002","2002",412,4233274,9.7,8.8,10.7,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2003","2003",403,4127812,9.8,8.8,10.7,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2004","2004",330,4007401,8.2,7.3,9.1,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2005","2005",345,3932153,8.8,7.8,9.7,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2006","2006",364,3880148,9.4,8.4,10.3,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2007","2007",365,3805648,9.6,8.6,10.6,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2008","2008",356,3712277,9.6,8.6,10.6,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2009","2009",294,3604400,8.2,7.2,9.1,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2010","2010",344,3509531,9.8,8.8,10.8,0.5
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2011","2011",380,3373052,11.3,10.1,12.4,0.6
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2012","2012",466,3336408,14.0,12.7,15.2,0.6
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2013","2013",499,3345125,14.9,13.6,16.2,0.7
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2014","2014",662,3386574,19.5,18.1,21.0,0.8
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2015","2015",939,3445074,27.3,25.5,29.0,0.9
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2016","2016",1320,3485593,37.9,35.8,39.9,1.0
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2017","2017",1614,3543606,45.5,43.3,47.8,1.1
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2018","2018",1772,3555292,49.8,47.5,52.2,1.2
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2019","2019",1774,3571147,49.7,47.4,52.0,1.2
,"35-39 years","35-39","Census Region 1: Northeast","CENS-R1","2020","2020",2263,3584290,63.1,60.5,65.7,1.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","1999","1999",182,5168501,3.5,3.0,4.0,0.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2000","2000",226,5096277,4.4,3.9,5.0,0.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2001","2001",247,4927668,5.0,4.4,5.6,0.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2002","2002",277,4776603,5.8,5.1,6.5,0.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2003","2003",244,4628191,5.3,4.6,5.9,0.3
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2004","2004",296,4508968,6.6,5.8,7.3,0.4
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2005","2005",328,4458282,7.4,6.6,8.2,0.4
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2006","2006",416,4465863,9.3,8.4,10.2,0.5
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2007","2007",398,4437823,9.0,8.1,9.8,0.4
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2008","2008",472,4373353,10.8,9.8,11.8,0.5
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2009","2009",480,4271947,11.2,10.2,12.2,0.5
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2010","2010",522,4188072,12.5,11.4,13.5,0.5
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2011","2011",545,4035316,13.5,12.4,14.6,0.6
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2012","2012",591,3996915,14.8,13.6,16.0,0.6
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2013","2013",646,4024160,16.1,14.8,17.3,0.6
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2014","2014",853,4086135,20.9,19.5,22.3,0.7
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2015","2015",1035,4172402,24.8,23.3,26.3,0.8
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2016","2016",1500,4250343,35.3,33.5,37.1,0.9
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2017","2017",1684,4324240,38.9,37.1,40.8,0.9
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2018","2018",1614,4380480,36.8,35.0,38.6,0.9
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2019","2019",1648,4391685,37.5,35.7,39.3,0.9
,"35-39 years","35-39","Census Region 2: Midwest","CENS-R2","2020","2020",2201,4384325,50.2,48.1,52.3,1.1
,"35-39 years","35-39","Census Region 3: South","CENS-R3","1999","1999",399,8088398,4.9,4.4,5.4,0.2
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2000","2000",474,8065139,5.9,5.3,6.4,0.3
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2001","2001",609,7935990,7.7,7.1,8.3,0.3
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2002","2002",689,7790160,8.8,8.2,9.5,0.3
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2003","2003",716,7634792,9.4,8.7,10.1,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2004","2004",669,7526508,8.9,8.2,9.6,0.3
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2005","2005",688,7538543,9.1,8.4,9.8,0.3
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2006","2006",742,7653942,9.7,9.0,10.4,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2007","2007",840,7749891,10.8,10.1,11.6,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2008","2008",818,7771544,10.5,9.8,11.2,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2009","2009",854,7713967,11.1,10.3,11.8,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2010","2010",937,7627166,12.3,11.5,13.1,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2011","2011",920,7426094,12.4,11.6,13.2,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2012","2012",942,7386043,12.8,11.9,13.6,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2013","2013",964,7416837,13.0,12.2,13.8,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2014","2014",1140,7535864,15.1,14.2,16.0,0.4
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2015","2015",1432,7718931,18.6,17.6,19.5,0.5
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2016","2016",1932,7892964,24.5,23.4,25.6,0.6
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2017","2017",2339,8072530,29.0,27.8,30.1,0.6
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2018","2018",2320,8222204,28.2,27.1,29.4,0.6
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2019","2019",2614,8296009,31.5,30.3,32.7,0.6
,"35-39 years","35-39","Census Region 3: South","CENS-R3","2020","2020",3812,8345564,45.7,44.2,47.1,0.7
,"35-39 years","35-39","Census Region 4: West","CENS-R4","1999","1999",510,5162811,9.9,9.0,10.7,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2000","2000",436,5119839,8.5,7.7,9.3,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2001","2001",340,5042803,6.7,6.0,7.5,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2002","2002",477,4951181,9.6,8.8,10.5,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2003","2003",462,4873364,9.5,8.6,10.3,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2004","2004",431,4831772,8.9,8.1,9.8,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2005","2005",393,4869675,8.1,7.3,8.9,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2006","2006",473,4941280,9.6,8.7,10.4,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2007","2007",472,4970529,9.5,8.6,10.4,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2008","2008",513,4960289,10.3,9.4,11.2,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2009","2009",480,4917482,9.8,8.9,10.6,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2010","2010",447,4854873,9.2,8.4,10.1,0.4
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2011","2011",527,4759847,11.1,10.1,12.0,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2012","2012",462,4768833,9.7,8.8,10.6,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2013","2013",497,4817648,10.3,9.4,11.2,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2014","2014",551,4913077,11.2,10.3,12.2,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2015","2015",584,5038178,11.6,10.7,12.5,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2016","2016",654,5145005,12.7,11.7,13.7,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2017","2017",671,5291621,12.7,11.7,13.6,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2018","2018",745,5405611,13.8,12.8,14.8,0.5
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2019","2019",930,5478680,17.0,15.9,18.1,0.6
,"35-39 years","35-39","Census Region 4: West","CENS-R4","2020","2020",1528,5514125,27.7,26.3,29.1,0.7
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","1999","1999",382,4339357,8.8,7.9,9.7,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2000","2000",390,4382473,8.9,8.0,9.8,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2001","2001",424,4443311,9.5,8.6,10.5,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2002","2002",458,4444533,10.3,9.4,11.2,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2003","2003",488,4427532,11.0,10.0,12.0,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2004","2004",425,4410248,9.6,8.7,10.6,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2005","2005",451,4347814,10.4,9.4,11.3,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2006","2006",524,4257070,12.3,11.3,13.4,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2007","2007",478,4152177,11.5,10.5,12.5,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2008","2008",424,4049538,10.5,9.5,11.5,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2009","2009",403,3940965,10.2,9.2,11.2,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2010","2010",419,3891812,10.8,9.7,11.8,0.5
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2011","2011",463,3855760,12.0,10.9,13.1,0.6
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2012","2012",468,3796152,12.3,11.2,13.4,0.6
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2013","2013",593,3695627,16.0,14.8,17.3,0.7
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2014","2014",667,3595734,18.5,17.1,20.0,0.7
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2015","2015",733,3481836,21.1,19.5,22.6,0.8
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2016","2016",1074,3347748,32.1,30.2,34.0,1.0
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2017","2017",1128,3311107,34.1,32.1,36.1,1.0
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2018","2018",1320,3280249,40.2,38.1,42.4,1.1
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2019","2019",1363,3292937,41.4,39.2,43.6,1.1
,"40-44 years","40-44","Census Region 1: Northeast","CENS-R1","2020","2020",1739,3328596,52.2,49.8,54.7,1.3
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","1999","1999",268,5144007,5.2,4.6,5.8,0.3
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2000","2000",294,5182032,5.7,5.0,6.3,0.3
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2001","2001",319,5230900,6.1,5.4,6.8,0.3
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2002","2002",393,5208507,7.5,6.8,8.3,0.4
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2003","2003",363,5162549,7.0,6.3,7.8,0.4
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2004","2004",443,5117546,8.7,7.9,9.5,0.4
,"40-44 years","40-44","Census Region 2: Midwest","CENS-R2","2005","2005",435,5014335,8.7,7.9,9.5,0.4
